run,timestamp_ns,x_m,y_m,yaw_rad,linear_x_mps,angular_z_radps,time_from_bag_start_s,x_relative_m,y_relative_m
R06,1784955863698171509,38.33233955007726,23.22872237582179,0.5006201596246775,-1.8095282799188712e-48,-0.0005138307191378245,1.958727301,0.0,0.0
R06,1784955863764866386,38.33233955007726,23.22872237582179,0.5006067464761763,-1.855758310760225e-48,0.0006833450196647839,2.025422178,0.0,0.0
R06,1784955863798136462,38.33233955007726,23.22872237582179,0.5006190040309666,-1.6977515769651843e-48,-0.0002576435430736219,2.058692254,0.0,0.0
R06,1784955863864768681,38.33233955007726,23.22872237582179,0.5006275301410104,-1.7408268695290218e-48,0.001368900403775217,2.125324473,0.0,0.0
R06,1784955863898250188,38.33233955007726,23.22872237582179,0.5006840650011064,-1.5932343737069222e-48,0.001539239071000102,2.15880598,0.0,0.0
R06,1784955863964828997,38.33233955007726,23.22872237582179,0.5007615075892264,-1.6330851958004685e-48,0.00048217852912249125,2.225384789,0.0,0.0
R06,1784955863998029214,38.33233955007726,23.22872237582179,0.5007752843150515,-1.4986746515280657e-48,0.0001279940428484034,2.258585006,0.0,0.0
R06,1784955864065054918,38.33233955007726,23.22872237582179,0.5007873729374523,-1.532389454984249e-48,0.00042241557031781537,2.32561071,0.0,0.0
R06,1784955864098131836,38.33233955007726,23.22872237582179,0.5008016481484581,-1.4051489397259416e-48,0.0002595939804173463,2.358687628,0.0,0.0
R06,1784955864164951453,38.33233955007726,23.22872237582179,0.5008200898374615,-1.437024664453191e-48,0.0004500824733891882,2.425507245,0.0,0.0
R06,1784955864198158934,38.33233955007726,23.22872237582179,0.5008294767570928,-1.3186310396198682e-48,-0.00010094976746338345,2.458714726,0.0,0.0
R06,1784955864265041593,38.33233955007726,23.22872237582179,0.5008152235384937,-1.3482271304873181e-48,-0.0006516926425925681,2.525597385,0.0,0.0
