run,timestamp_ns,x_map_m,y_map_m,yaw_map_rad,time_from_bag_start_s
R09,1784956435985263276,-0.41107900662232333,-0.06845409121209915,-0.14678136727389332,19.493691904
R09,1784956438997642596,-0.12836494234944426,-0.12343567568010648,-0.26336256040718137,22.506071224
R09,1784956440048498554,-0.032603624592808265,-0.15974304670787728,-0.47500671733628347,23.556927182
R09,1784956442928947860,0.16510560446676711,-0.30553972536761514,-0.5750054415909168,26.437376488
R09,1784956445154502390,0.3509930571704527,-0.3965952722786455,-0.340343082806241,28.662931018
R09,1784956446336694966,0.46374438305862015,-0.416310677755385,-0.11828403830305036,29.845123594
R09,1784956447513123386,0.5684818836202734,-0.4232895030448767,0.08639300862552417,31.021552014
R09,1784956448953893801,0.7180704502601963,-0.4126211586558575,0.3152220677707032,32.462322429
R09,1784956450789265641,0.8499657298291353,-0.371229219520078,0.5086675347176849,34.297694269
R09,1784956453671840073,1.085057352196011,-0.2268840559594167,0.706873342435562,37.180268701
R09,1784956454326648958,1.109670052740944,-0.21365874501986598,0.47703214805103955,37.835077586
R09,1784956454586176203,1.1127874262357076,-0.2163864780019025,0.27377704378829537,38.094604831
R09,1784956454981719612,1.112088197043403,-0.21925865132777989,0.02692491666732142,38.49014824
R10,1784956577096036180,-0.6940252945070009,-0.034114308621184794,-0.0025960665384787344,0.69729539
R10,1784956594116464393,-0.36330246001230787,-0.025473199045761185,0.0905479123058993,17.717723603
R10,1784956595291840287,-0.253147108459422,-0.003279110024390921,0.2918570704442607,18.893099497
R10,1784956596866701123,-0.09596835733246206,0.026779545099171582,0.041561357409615765,20.467960333
R10,1784956597911976569,-0.008652522324052241,0.009135475509823411,-0.19601837471362682,21.513235779
R10,1784956599222054311,0.09487156261853721,-0.03524945630707113,-0.4639569185856701,22.823313521
R10,1784956599616318186,0.10567213164222031,-0.044903154274840984,-0.7758884375390319,23.217577396
R10,1784956600401821741,0.13021023031441478,-0.08328372081046,-0.9810837385269627,24.003080951
R10,1784956603152315760,0.27396120405756325,-0.2887662358647139,-0.9027910750799635,26.75357497
R10,1784956604465303229,0.37169597532877374,-0.3714973210086817,-0.6416227143804369,28.066562439
R10,1784956605250395411,0.4641271244956997,-0.4168339140162993,-0.4285538862488498,28.851654621
R10,1784956606164983605,0.5580054697045905,-0.44458530526040274,-0.19693507711105684,29.766242815
R10,1784956607083331922,0.6576989553985162,-0.4575220296530824,0.029133968367237688,30.684591132
R10,1784956608130892691,0.7595371661268366,-0.44801656215178653,0.25945903164318945,31.732151901
R10,1784956609441762427,0.8676587682936454,-0.4051985782122123,0.4613990483330665,33.043021637
R10,1784956611146975368,0.9901725636300609,-0.3151401158753589,0.7101601256128991,34.748234578
R10,1784956613243320081,1.0864591575319322,-0.2393126743464408,0.5174040784802079,36.844579291
R10,1784956613636103556,1.1019061163859645,-0.23778787246438324,0.1994659741171798,37.237362766
R11,1784956951957465510,-0.6919270311384926,-0.034763453130588866,-0.00692938190585629,0.159485968
R11,1784956977838653036,-0.3558722220381643,-0.026340541109197327,-0.07238860913921345,26.040673494
R11,1784956979673757477,-0.1742713965920552,-0.059575611791856886,-0.3079484058048696,27.875777935
R11,1784956982950412183,0.08744565455397287,-0.16684703205595805,-0.49321283843748015,31.152432641
R11,1784956985832524394,0.3005971863611487,-0.3077504961692588,-0.43950372721218195,34.034544852
R11,1784956986750447314,0.405834229610074,-0.3620919742985742,-0.23763861685260687,34.952467772
R11,1784956987667939949,0.5008044507331326,-0.38626009807000683,-0.006749444582859454,35.869960407
R11,1784956988583127004,0.6038811128900033,-0.3906503285723215,0.21911823171402767,36.785147462
R11,1784956990023019871,0.7038373856441087,-0.3452469161262906,0.4344733652031527,38.225040329
R11,1784956993168511517,0.9545067984278559,-0.2673373202674411,0.44972162885767436,41.370531975
R11,1784956994609529572,1.064034388980979,-0.2131689956893595,0.6496724029245176,42.81155003
R11,1784956995135527554,1.0751702559234417,-0.2336307638268151,0.3150269521911564,43.337548012
R11,1784956995401394591,1.0857956375041828,-0.2276168233786739,0.1144676193429371,43.603415049
R12,1784957195113706855,-0.6906627519649635,-0.036998701115106,0.0026737958062548915,0.317820033
R12,1784957213919548949,-0.3568187142457884,-0.05912161486994128,0.030575989799354154,19.123662127
R12,1784957215098218828,-0.2694281592617346,-0.04205024172742258,0.26616777361695554,20.302332006
R12,1784957216672636562,-0.12499236883908815,-0.009002920978918787,0.046284094063334724,21.87674974
R12,1784957217585548618,-0.05043718881655429,-0.016577649223492287,-0.1802652057824398,22.789661796
R12,1784957219291145640,0.048979219734608254,-0.028950299910414982,0.10238189997088917,24.495258818
R12,1784957219684218849,0.05268620066765746,-0.029256510817177197,0.343222644527059,24.888332027
